model,x_type,label_len,te
Decoder,breath,1,0.1186
Decoder,breath,2,0.06947
Decoder,breath,3,0.04960
Decoder,breath,4,0.05232
Decoder,breath,5,0.05800
Decoder,breath,6,0.06134
Decoder,breath,7,0.05725
Decoder,breath,8,0.04910
Decoder,breath,9,0.04468
Decoder,breath,10,0.04607
Decoder,breath,11,0.04330
Decoder,breath,12,0.03564
Decoder,breath,13,0.03795
Decoder,breath,14,0.03738
Decoder,breath,15,0.03753
Decoder,heart,1,-0.05023
Decoder,heart,2,-0.06280
Decoder,heart,3,-0.06192
Decoder,heart,4,-0.04586
Decoder,heart,5,-0.03491
Decoder,heart,6,-0.04257
Decoder,heart,7,-0.06657
Decoder,heart,8,0.006881
Decoder,heart,9,-0.02569
Decoder,heart,10,0.01293
Decoder,heart,11,-0.02892
Decoder,heart,12,-0.03764
Decoder,heart,13,-0.04125
Decoder,heart,14,-0.05485
Decoder,heart,15,-0.03656
