model,x_type,label_len,x_len,te
Decoder,breath,3,2,0.04825
Decoder,breath,4,2,0.05115
Decoder,breath,5,2,0.05710
Decoder,breath,6,2,0.06086
Decoder,breath,7,2,0.05689
Decoder,breath,8,2,0.04878
Decoder,breath,9,2,0.04427
Decoder,breath,10,2,0.04578
Decoder,breath,11,2,0.04360
Decoder,breath,12,2,0.03619
Decoder,breath,13,2,0.03913
Decoder,breath,14,2,0.03845
Decoder,breath,15,2,0.03835
Decoder,heart,3,2,-0.06300
Decoder,heart,4,2,-0.04705
Decoder,heart,5,2,-0.03631
Decoder,heart,6,2,-0.04401
Decoder,heart,7,2,-0.06790
Decoder,heart,8,2,0.005303
Decoder,heart,9,2,-0.02718
Decoder,heart,10,2,0.01177
Decoder,heart,11,2,-0.02984
Decoder,heart,12,2,-0.03859
Decoder,heart,13,2,-0.04282
Decoder,heart,14,2,-0.05618
Decoder,heart,15,2,-0.03732
