model,feedback,p,db,c_gt,c_estimated,c_estimated_ndg_decoder
LSTM,FALSE,0.01,-20,0.0104,0.008928,
LSTM,FALSE,0.0316,-15,0.0303,0.02803,
LSTM,FALSE,0.1,-10,0.0819,0.07556,
LSTM,FALSE,0.316,-5,0.1975,0.1959,
LSTM,FALSE,1,0,0.4134,0.409,
LSTM,FALSE,3.162,5,0.7515,0.7391,
LSTM,FALSE,10,10,1.2138,1.22506,
LSTM,FALSE,31.62,15,1.7474,1.76125,
LSTM,TRUE,0.01,-20,0.01104,0.01052,
LSTM,TRUE,0.0316,-15,0.03362,0.03409,
LSTM,TRUE,0.1,-10,0.09593,0.09522,
LSTM,TRUE,0.316,-5,0.2393,0.2391,
LSTM,TRUE,1,0,0.4968,0.4913,
LSTM,TRUE,3.162,5,0.8644,0.8723,
LSTM,TRUE,10,10,1.315,1.28143,
LSTM,TRUE,31.62,15,1.818,1.7101,
Decoder,FALSE,0.01,-20,0.0104,0.01482,0.016
Decoder,FALSE,0.0316,-15,0.0303,0.03598,0.03464
Decoder,FALSE,0.1,-10,0.0819,0.08365,0.08319
Decoder,FALSE,0.316,-5,0.1975,0.2111,0.1955
Decoder,FALSE,1,0,0.4134,0.4207,0.4193
Decoder,FALSE,3.162,5,0.7515,0.7474,0.7502
Decoder,FALSE,10,10,1.2138,1.20647,1.217
Decoder,FALSE,31.62,15,1.7474,1.727,1.731
Decoder,TRUE,0.01,-20,0.01104,0.007985,0.01103
Decoder,TRUE,0.0316,-15,0.03362,0.0339,0.03315
Decoder,TRUE,0.1,-10,0.09593,0.09426,0.09338
Decoder,TRUE,0.316,-5,0.2393,0.237,0.2457
Decoder,TRUE,1,0,0.4968,0.4974,0.4966
Decoder,TRUE,3.162,5,0.8644,0.8872,0.8832
Decoder,TRUE,10,10,1.315,1.325,1.205
Decoder,TRUE,31.62,15,1.818,1.80347,1.765
