model,feedback,p,db,c_gt,c_estimated,c_estimated_ndg_decoder
LSTM,FALSE,0.01,-20,0.01615,0.013,
LSTM,FALSE,0.0316,-15,0.04229,0.03835,
LSTM,FALSE,0.1,-10,0.09964,0.10221,
LSTM,FALSE,0.316,-5,0.20994,0.20788,
LSTM,FALSE,1,0,0.40545,0.4053,
LSTM,FALSE,3.162,5,0.74215,0.73844,
LSTM,FALSE,10,10,1.21016,1.15142,
LSTM,FALSE,31.62,15,1.7462,1.70046,
LSTM,TRUE,0.01,-20,0.01891,0.01393,
LSTM,TRUE,0.0316,-15,0.05402,0.04781,
LSTM,TRUE,0.1,-10,0.13672,0.13406,
LSTM,TRUE,0.316,-5,0.29455,0.28428,
LSTM,TRUE,1,0,0.54619,0.53454,
LSTM,TRUE,3.162,5,0.89533,0.88203,
LSTM,TRUE,10,10,1.3295,1.14409,
LSTM,TRUE,31.62,15,1.8242,1.72989,
Decoder,FALSE,0.01,-20,0.01615,0.01144,0.01995
Decoder,FALSE,0.0316,-15,0.04229,0.03089,0.04535
Decoder,FALSE,0.1,-10,0.09964,0.08139,0.1047
Decoder,FALSE,0.316,-5,0.20994,0.1809,0.1851
Decoder,FALSE,1,0,0.40545,0.38375,0.3726
Decoder,FALSE,3.162,5,0.74215,0.71263,0.7385
Decoder,FALSE,10,10,1.21016,1.17282,1.161
Decoder,FALSE,31.62,15,1.7462,1.7113,1.70856
Decoder,TRUE,0.01,-20,0.01891,0.05521,0.01788
Decoder,TRUE,0.0316,-15,0.05402,0.08916,0.0599
Decoder,TRUE,0.1,-10,0.13672,0.1603,0.1313
Decoder,TRUE,0.316,-5,0.29455,0.30308,0.2986
Decoder,TRUE,1,0,0.54619,0.54668,0.5318
Decoder,TRUE,3.162,5,0.89533,0.89167,0.9006
Decoder,TRUE,10,10,1.3295,1.32118,1.235
Decoder,TRUE,31.62,15,1.8242,1.75101,1.728
